段階	検証ID	検証内容	初期設定（前提データ）	操作・前提条件	使用する検証データ	期待値	スクショファイル名	スクショ（撮るもの）	スクショ貼付欄	画面	確認ポイント	ヘルプページ該当箇所	対応受入条件	実際の値	判定	所見・気づき	実施日	実施者	備考	計算根拠
登録	T-R07	登録の実行・中断	S-04	（a）必須を埋めて「登録」（適用日付＝当日）（b）入力途中で「キャンセル」（c）ツールバー「従業員一覧へ」「CSVインポート」	（投入済み）02 従業員マスタ（一覧の12名）	"【確認場所：従業員登録】
（a）完了表示のあと一覧へ戻り、登録前より1名増えている （b）一覧へ戻り件数は変わらない （c）従業員一覧／設定インポートへ遷移"	T-R07.png	登録成功後の従業員一覧（新規行が見えること）とキャンセル後の一覧		従業員登録 … 下部「登録」「キャンセル」／ツールバー「従業員一覧へ」「CSVインポート」→ 従業員一覧	登録される／されないの分岐	操作手順 ＞ 従業員を登録する	AC-06 AC-30						中断しても既存データが変わらないこと。件数は絶対数ではなく増減で見る（T-L10で1名削除済みのため）	原則①：当日・過去日は即時／画面：操作が最後まで通る
登録	T-R10	必須未入力では保存も遷移もしないこと	S-04	名前・従業員コード・所属店舗・雇用区分・給与単位・単位給与額 をそれぞれ空にして「登録」を押す	（投入済み）02 従業員マスタ（一覧の12名）	"【確認場所：従業員登録】
6項目それぞれで 登録=0件・画面遷移=0件（6回とも同じ）。不足している項目名が画面上に表示される"	T-R10.png	必須未入力で「登録」を押した直後（エラー表示と、画面が遷移していないこと）		従業員登録 … 必須項目のバリデーション表示（画面に留まること）	必須未入力で保存も遷移もしないか	よくあるご質問 ＞ 設定が保存できません	AC-43						設定が欠けた従業員が生まれると締め時に止まる（T-S03の事前チェックと対）	データ保全：不完全な登録を作らない
詳細	T-D01	詳細の表示	S-04 S-05	EMP-001の詳細を開き、3セクションと履歴の列を確認	（投入済み）02 従業員マスタ（一覧の12名）／05 月次給与実績・06 日次給与実績	"【確認場所：従業員詳細（従業員一覧の詳細アイコンから遷移）】
基本情報／設定変更履歴／給与実績 が表示。基本情報は登録と同項目・同配置。履歴は14列（変更反映日時〜変更ソース の13項目＋操作）。2026-08-01行が「予約中」"	T-D01.png	従業員詳細の全体（基本情報・設定変更履歴・給与実績の3セクションが分かる範囲）		従業員詳細（従業員一覧の詳細アイコンから遷移）… 基本情報／設定変更履歴／給与実績の3セクション	3セクションと履歴14列	操作手順 ＞ 従業員の設定を変更する	AC-07						履歴の13列は設定変更履歴一覧（T-H04）と同じであること	原則①：過去は不変
詳細	T-D04	未来日＝予約になる	S-04 S-05 S-07	単位給与額を340,000に変更し、適用日付＝翌月1日で「保存」	（投入済み）02 従業員マスタ（一覧の12名）／05 月次給与実績・06 日次給与実績	"【確認場所：従業員詳細】
「（日付）からの適用を予約しました」と表示。履歴に「予約中」が1行追加。一覧の単位給与額は320,000のまま"	T-D04.png	保存直後のトースト「◯月◯日からの適用を予約しました」／履歴の「予約中」行／一覧の値が未変更であること の3枚		従業員詳細 … 基本情報の単位給与額と適用日付 → 下部「保存」→ 従業員一覧のトーストと一覧値	予約になり一覧の値が変わらないか	ケース別 ＞ 給与改定を先の日付で予約する	AC-04						本機能の中心価値。まだ反映されないことが要点	原則①：未来日は予約になる
詳細	T-D05	予約の自動適用	T-D04実施済み	適用日を迎えた状態を作って、一覧と履歴を再表示する。次の3通りから検証環境で可能な方法を選ぶ：①前日に予約を仕込み翌日に確認（8/12仕込み→8/13確認）②システム日付を進める ③予約適用のバッチを手動実行する	（追加のデータ投入なし）	"【確認場所：従業員詳細（予約を仕込む）→ 翌日の従業員一覧と設定変更履歴のステー】
一覧が340,000に変わり、履歴が「適用中」、旧行が「過去」になる"	T-D05.png	適用日を迎えた後の一覧の値と、履歴のステータスが「適用中」に変わった行		従業員詳細（予約を仕込む）→ 翌日の従業員一覧と設定変更履歴のステータス	適用日に自動で切り替わるか	ケース別 ＞ 給与改定を先の日付で予約する	AC-05						★2日間の検証枠では日をまたぐ必要がある。どの方法で実施するかを事前に決めておかないと当日に判定できない。切替のタイミング（0:00／バッチ時刻）を所見に記録	原則①：予約が自動で効く
詳細	T-D06	当日適用＝即時反映	S-04	EMP-002の単位給与額を290,000に変更し、適用日付＝当日で「保存」	（投入済み）02 従業員マスタ（一覧の12名）	"【確認場所：従業員詳細】
「即時反映しました」と表示。一覧が290,000になる"	T-D06.png	トースト「即時反映しました」と、一覧の値が290,000になった状態		従業員詳細 … 適用日付＝当日で「保存」→ 従業員一覧の値	即時反映され一覧の値が変わるか	操作手順 ＞ 従業員の設定を変更する	AC-06						保存直後に反映されること	原則①：当日・過去日は即時
詳細	T-D09	詳細の給与実績（ダイジェスト）	S-05	従業員詳細の給与実績で、見出し右の「概算モード」「実績モード」を切り替える。月次実績・日次実績のタブも切り替える。絞り込みとCSVエクスポートが無いことを確認し、右上「すべての実績」を押す	（投入済み）05 月次給与実績・06 日次給与実績	"【確認場所：従業員詳細 → 給与実績】
概算⇄実績で表示列が増減する（月次18列⇄10列／日次15列⇄8列）。日次でも切り替わる。概算で残るのは実績データが無くても値が決まる列だけ（判断22）。直近3か月が表示され、実績データ取込の前でも概算モードで金額が出る（空欄=0件）。絞り込みとCSVエクスポートは無い（残っている数=0件）。「すべての実績」で従業員別 給与実績が開き、EMP-001で絞り込まれている"	T-D09.png	給与実績セクション（月次・日次の両タブ／絞り込みとCSVボタンが無いこと）／「すべての実績」で開いた従業員別 給与実績		従業員詳細 → 給与実績セクション … 右上「すべての実績」→ 従業員別 給与実績	日次でもモードが効くか／概算に実績由来の列が残らないか	操作手順 ＞ 毎月の人件費を確定する	AC-54 AC-57						2026-08-13 判断12。詳細から絞り込みとCSV出力を外した	画面：通して見る場所がある
実績	T-P01	従業員別 給与実績の絞り込みと出力	S-05	従業員別 給与実績で（a）年月を2024-10〜2024-12に指定 →（b）年をまたぐ範囲（2024-10〜2025-01）に変更 →（c）給与計算モードを概算⇄実績で切替 →（d）日次実績タブに切り替え →（e）CSVエクスポート	（投入済み）05 月次給与実績・06 日次給与実績	"【確認場所：従業員別 給与実績】
（a・b）指定した期間の行だけが表示され、年をまたいでも表示される（またげない=0件）（c）月次では列が増減する（d）日次タブでも給与計算モードが使え、概算にすると「営業日でならした額」の注記が出る（判断21）（e）出力した行数＝画面の行数（差0件）。Excelで開いて文字化け=0件"	T-P01.png	年またぎの期間で表示した一覧／概算と実績の両モード／日次タブの概算モード（注記が出ていること）／出力したCSVをExcelで開いた画面		従業員別 給与実績（従業員詳細 →「すべての実績」）… 年月の開始・終了、給与計算モード、月次実績／日次実績タブ、右上CSVエクスポート	年をまたいで通して見られるか／表示どおり出力されるか	操作手順 ＞ データを出力する	AC-54 AC-36						2026-08-13 判断12で新設した画面の検証	画面：通して見る場所がある／入出力：画面の内容と一致
実績	T-P02	概算モードと差分の表示	S-05	（a）従業員別 給与実績で給与計算モードを 概算 → 実績 に切り替える →（b）実績モードで 想定給与・給与実績差分 を確認する →（c）実績データ取込を行っていない月（当月）を範囲に含めて概算モードで表示する →（d）日次実績タブに切り替え、想定給与・給与実績差分が表示されることを確認する	（投入済み）05 月次給与実績	"【確認場所：従業員別 給与実績 → 月次実績】
（a）概算モードでは基本列のみ、実績モードで実績列が追加される（b）給与実績差分＝給与−想定給与（計算違い0件）（c）実績がまだ無い月でも概算モードで金額が表示される（空欄=0件）（d）日次はモード切替を持たないが、想定給与・給与実績差分が表示される（欠落=0件）"	T-P02.png	概算モードと実績モードの両方（列の増減が比較できること）／想定給与と給与実績差分が読める範囲／実績がまだ無い月を概算モードで表示した状態		従業員別 給与実績 → 月次実績タブ … 給与計算モード（概算／実績）	モードで列が増減するか／差分が正しいか	操作手順 ＞ 毎月の人件費を確定する	AC-57						2026-08-13 判断16。実績が出る前でも金額が見えることを確認する	画面：実績が出る前も金額が見える
詳細	T-D08	詳細の削除・戻る	S-04	EMP-004（山本 健／実績データにも取込CSVにも含まれない）の詳細を開き「従業員削除」→（a）キャンセル →（b）実行、（c）別の従業員で「一覧へ戻る」	（投入済み）02 従業員マスタ（一覧の12名）	"【確認場所：従業員詳細】
（a）削除されず件数が変わらない （b）確認のあと削除される （c）一覧へ戻る（保存されない）"	T-D08.png	削除の確認モーダル／実行後の一覧（行が消えたこと）		従業員詳細 … 下部「従業員削除」→ 確認モーダル／「一覧へ戻る」→ 従業員一覧	キャンセルで消えない／実行で消えるか	操作手順 ＞ 従業員を探す・削除する	AC-34 AC-30						一覧側（T-L10）と同じ挙動であること ／ 削除対象はEMP-004に固定する。実績データや取込CSVに出てくる従業員（EMP-001・002・003・005・007・010）を消すと、以降の検証と計算が成立しなくなる	データ保全：消える操作は確認を経る／画面：操作が最後まで通る
詳細	T-D11	設定変更履歴の表示ルール	S-04 S-05	EMP-001の詳細を開き、（a）並び順とステータス列の位置を確認 →（b）単位給与額を380,000に変更し適用日付＝翌々月1日で保存 →（c）保存後の履歴の最上部と強調を確認 →（d）右上「すべての履歴」を押す	（投入済み）04 設定変更履歴	"【確認場所：従業員詳細 → 設定変更履歴】
（a）並びは変更反映日時の降順で、予約中が最上部。ステータスは変更反映日時の次（2列目）にあり横スクロールなしで見える。表示は直近3件（b・c）保存した行が最上部に増え、1つ古い行と値が違う項目（単位給与額）だけが強調される。強調の過不足=0件（d）設定変更履歴一覧が開き、EMP-001で絞り込まれた状態になる（絞り込みなしでの遷移=0件）"	T-D11.png	保存前後の履歴セクション2枚（並び順とステータス列の位置が分かる範囲）／強調された項目／「すべての履歴」で開いた設定変更履歴一覧（絞り込み条件が見える状態）		従業員詳細 → 設定変更履歴セクション … 右上「すべての履歴」→ 設定変更履歴一覧（EMP-001で絞り込み済み）	保存した行が最上部に来るか／変更点だけ強調されるか	操作手順 ＞ 従業員の設定を変更する	AC-52 AC-53						2026-08-13 判断11で追加。並び順・ステータス列の位置・強調・遷移先の絞り込みの4点を1ケースで確認する	画面：保存できたか確かめられる／画面：変更点が読み取れる
履歴	T-H01	履歴の追記と過去行の不変	S-05 ／ 変更前の履歴をCSV出力しておく	EMP-001の設定を1回変更して保存し、変更前後の履歴を突合	（投入済み）05 月次給与実績・06 日次給与実績	"【確認場所：設定変更履歴一覧】
履歴が1行増える。既存行の値の差分＝0"	T-H01.png	変更前の履歴と変更後の履歴（既存行が同じであることが並べて分かること）		設定変更履歴一覧 … 変更前後の行（既存行が書き換わらないこと）	既存行が書き換わらないか	ケース別 ＞ 数字が合わないとき	AC-07						原則①（過去の不変性）の担保。AC-03に連鎖する	原則①：過去は不変
履歴	T-H02	記録の内容	S-05 T-D04実施済み	予約した行の「変更反映日時」と「編集日時」を比較し、変更ソースを4種で絞り込む	（投入済み）05 月次給与実績・06 日次給与実績	"【確認場所：設定変更履歴一覧】
①変更反映日時と編集日時が異なる（例：反映8/1・編集6/25）　②変更ソースが4種すべて記録・絞り込みできる（手動編集／更新予約／CSVインポート(KOT)／CSVインポート(ジョブカン)）"	T-H02.png	「変更反映日時」と「編集日時」が異なる行／変更ソース4種で絞り込んだ結果		設定変更履歴一覧 … 「変更反映日時」と「編集日時」の2列／変更ソースのフィルタ（4種）	2つの日時が別で記録されるか	ケース別 ＞ 数字が合わないとき	AC-08 AC-09						①がAC-09、②がAC-08。どちらが落ちたか分かるよう所見に①②で記録する	原則①：原因を追える（変更ソース）／原則①：適用日と操作日を分ける
履歴	T-H04	履歴の絞り込み・出力・遷移	S-05	店舗／雇用区分／名前／編集日時の範囲（2026-05-01〜05-31）で絞り込み → CSVエクスポート → 名前をクリック → ツールバー「CSVインポート」	（投入済み）05 月次給与実績・06 日次給与実績	"【確認場所：設定変更履歴一覧】
店舗・雇用区分・名前の各条件で行が絞られる。編集日時2026-05-01〜05-31では2行（EMP-001 5/18・EMP-003 5/28）。CSVは絞り込み後の2行のみ出力（全5行にならない）。名前から従業員詳細へ、ツールバーから設定インポートへ遷移（2経路とも到達）"	T-H04.png	絞り込み条件を適用した一覧と、出力したCSV（行数が一致すること）		設定変更履歴一覧 … 店舗/雇用区分/名前/編集日時範囲のフィルタ → CSVエクスポート → 名前クリックで従業員詳細 → ツールバー「CSVインポート」	絞り込み後の行だけ出力されるか	ケース別 ＞ 数字が合わないとき	AC-33 AC-36 AC-30						列は「名前」＋履歴13列＝14列（T-D01と同じ）。境界日（5/1・5/31）が範囲に含まれること	画面：対象を探せる／入出力：画面の内容と一致／画面：操作が最後まで通る
実績	T-A02	月別実績の表示と切替	S-05	月別実績タブで 概算 → 実績 に切り替え、年月／店舗／雇用区分／検索で絞り込む。その後ほかの画面を開いて戻る	（投入済み）05 月次給与実績・06 日次給与実績	"【確認場所：給与実績一覧 → 月別実績タブ】
全26列。常時表示11列（名前/従業員ページ/従業員設定/従業員コード/雇用区分/給与単位/単位給与額/勤務日数/所属店舗/交通費/総支給額）＋実績モードで15列追加（想定労働日数/想定労働時間/総労働時間/労働時間差分/みなし労働時間/みなし労働時間差分/想定給与/給与/給与実績差分/所属店舗労働時間/ヘルプ先店舗/ヘルプ時間/ヘルプ人件費/深夜残業時間/深夜残業代）。各フィルタが効く。他画面に切替状態が漏れない
実績モードでは 想定給与・給与・給与実績差分 が表示され、差分＝給与−想定給与 と一致する
概算モードでは実績由来の列（給与・給与実績差分・ヘルプ人件費・深夜残業代など）が隠れる。残るのは実績データが無くても値が決まる列だけ（判断22。食い違う列=0件）"	T-A02.png	概算モードと実績モードの両方（列の増減が比較できること）		給与実績一覧 → 月別実績タブ … 給与計算モード（概算⇄実績）の切替と、年月/店舗/雇用区分/検索のフィルタ	モード切替で列が増減するか	操作手順 ＞ 毎月の人件費を確定する	AC-10 AC-31 AC-57						金額の正しさは C- で別途検証。店舗フィルタが所属店舗基準か稼働店舗基準かを所見に記録	計算：算式どおりの金額／画面：状態が漏れない
実績	T-A09	給与実績一覧からの設定編集	S-05	給与実績一覧で対象従業員の「従業員設定」を開き、単位給与額を変更して「更新保存」→ 従業員詳細の設定変更履歴を確認	（投入済み）05 月次給与実績・06 日次給与実績	"【確認場所：給与実績一覧　→　行の「従業員設定」】
モーダルに14項目が表示される。更新保存で給与実績一覧に戻り数字が再計算される。従業員詳細の履歴が1行増え、変更ソースが記録される（詳細から編集した場合と同じ形式）"	T-A09.png	設定編集モーダル（項目が見える状態）／更新保存後の給与実績一覧／従業員詳細の設定変更履歴に行が増えたこと		給与実績一覧 → 行の「従業員設定」→ 設定編集モーダル →「更新保存」→ 給与実績一覧／確認は従業員詳細の設定変更履歴	モーダル編集でも履歴が残るか	操作手順 ＞ 従業員の設定を変更する	AC-49						★入口が2つある（判断10）。モーダル経由だけ履歴が残らないと原則①が破れる。R-06で実装も確認	原則①：どの入口から編集しても履歴が残る
実績	T-A05	日別実績の表示	S-05	日別実績タブに切り替え、日付／店舗／雇用区分／検索で絞り込む	（投入済み）05 月次給与実績・06 日次給与実績	"【確認場所：給与実績一覧 → 日別実績タブ】
全21列（名前/給与単位/単位給与額/想定勤務時間/勤務時間/勤務時間実績差分/みなし残業時間/みなし残業時間差分/想定給与/給与/給与実績差分/所属店舗/所属店舗労働時間/ヘルプ先店舗/ヘルプ時間/ヘルプ人件費/深夜残業時間/深夜残業代/所属店舗交通費/ヘルプ交通費/総支給額）。交通費は所属店舗ぶんと応援先ぶんが別列。概算モードは存在しない
日別にモード切替は無いが、想定給与・給与実績差分は表示される"	T-A05.png	日別実績の全体（モード切替が無いことが分かる範囲）		給与実績一覧 → 日別実績タブ … 日付/店舗/雇用区分/検索のフィルタ（概算モードが無いこと）	日別に概算モードが無いか	操作手順 ＞ 毎月の人件費を確定する	AC-10 AC-57						概算の日割りは判断1が未確定のため出さない仕様	計算：算式どおりの金額
