段階	検証ID	対応受入条件	検証観点	優先度	検証内容	初期設定（前提データ・従業員設定）	操作・前提条件	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	備考
P1_一覧	T-L09	AC-33	正常	Should	2段目フィルタ（対象データ）	data/05（2026-05）・取込データを投入済み	月＝2026-05／取込データを選択	対象データが選択した月・取込データのものに切り替わる	T-L09.png	従業員一覧	1段目（絞り込み）と2段目（対象データ）が独立して効くこと			役割別2行の設計意図どおりか
P1_一覧	T-L10	AC-34	異常	Must	行の削除	data/02の12名	行の削除アイコンを押す →（a）キャンセル →（b）実行	（a）確認ダイアログでキャンセル＝削除されず12名のまま。（b）実行＝完了トースト後に11名になる	T-L10.png	従業員一覧	確認なしで削除されないこと。キャンセルで消えないこと			SweetAlert2の警告→successトースト
P1_一覧	T-L11	AC-33	境界	Should	0件時の表示	data/02の12名	名前検索に該当しない文字列（例：ZZZ）を入力	「データはありません。」と表示される（空白やエラーではない）	T-L11.png	従業員一覧	DataTablesの日本語表示			
P2_登録	T-R01	AC-30	正常	Must	初期表示	店舗5店を投入済み	従業員一覧→「従業員登録」	パンくず「ホーム - 従業員一覧 - 従業員登録」。基本情報フォームが表示	T-R01.png	従業員登録	所属店舗のプルダウンに5店が出ること			
P2_登録	T-R02	AC-06	正常	Must	項目の網羅	同上	フォームの項目を確認	名前/従業員コード/所属店舗/ヘルプ先店舗/雇用区分/給与単位/単位給与額/交通費単位/単位交通費/ヘルプ先交通費/所定労働時間/みなし残業時間/適用日付	T-R02.png	従業員登録	適用日付が所定労働時間・みなし残業時間の下の行にあること			詳細画面と同じ位置であること（T-D02と対）
P2_登録	T-R03	AC-06	正常	Should	通貨入力	-	単位給与額に 320000 と入力	¥320,000 と千区切りで表示される	T-R03.png	従業員登録	¥プレフィックスと3桁区切り			
P2_登録	T-R04	AC-15	正常	Must	ヘルプ先交通費の動的表示	店舗5店を投入済み	ヘルプ先店舗で青山店＋新宿店を選択	選択した2店それぞれに「ヘルプ先交通費」入力欄が自動表示される	T-R04.png	従業員登録	店舗ごとに個別入力できること（1つにまとまっていないこと）			data/03の構造（EMP-001: S02=700/S03=900）
P2_登録	T-R05	AC-15	異常	Must	ヘルプ先交通費の必須	T-R04の状態	ヘルプ先交通費を空のまま「登録」	必須バリデーションで登録できない	T-R05.png	従業員登録	どの欄が不足かが分かる表現であること			
P2_登録	T-R06	AC-15	境界	Should	ヘルプ先の解除	T-R04の状態	ヘルプ先店舗から新宿店の選択を外す	新宿店の交通費欄が消える。青山店の入力値は保持される	T-R06.png	従業員登録	他店の入力値が消えないこと			
P2_登録	T-R07	AC-06	正常	Must	登録の実行	必須項目をすべて入力（適用日付＝当日）	「登録」を押す	完了表示のあと従業員一覧へ戻り、13名になっている	T-R07.png	従業員登録→従業員一覧	新規行が一覧に出ること			
P3_詳細	T-D01	AC-30	正常	Must	初期表示	data/02・04・05・06を投入済み	EMP-001の詳細アイコンを押す	基本情報／設定変更履歴／給与実績 の3セクションが表示	T-D01.png	従業員詳細	3セクションすべてが存在すること			
P3_詳細	T-D02	AC-06	正常	Must	項目と配置の統一	同上	基本情報セクションを確認	登録画面と同項目・同配置。適用日付が所定労働時間／みなし残業時間の下の行にある	T-D02.png	従業員詳細	登録画面（T-R02）と位置が一致すること			位置が違うと適用日付の触り忘れ事故が起きる
P3_詳細	T-D03	AC-07	正常	Must	履歴の列	data/04（EMP-001の3行を含む）	設定変更履歴セクションを確認	変更反映日時/雇用区分/給与単位/単位給与額/交通費単位/単位交通費/所定労働時間/みなし残業時間/所属店舗/ヘルプ先店舗/ステータス/編集日時/変更ソース の13列	T-D03.png	従業員詳細	13列すべてが存在すること			
P3_詳細	T-D04	AC-04	正常	Must	未来日＝予約になる	EMP-001＝単位給与額320,000（2026-06-01適用）	単位給与額を340,000に変更し、適用日付に翌月1日を入れて「保存」	「（日付）からの適用を予約しました」と表示。履歴にステータス「予約中」の行が追加される	T-D04.png	従業員詳細	一覧の単位給与額は320,000のまま（＝まだ反映されない）こと			本機能の中心価値。data/04の2026-08-01行と同じ形
P3_詳細	T-D05	AC-05	境界	Must	予約の自動適用	T-D04の予約が存在する状態	適用日をまたいで（またはバッチ実行後に）一覧と履歴を再表示	一覧が340,000に変わり、履歴のステータスが「適用中」、旧行が「過去」になる	T-D05.png	従業員詳細／従業員一覧	切替のタイミング（0:00／バッチ時刻）を実測して記録			日跨ぎの検証。実行時刻を必ず控える
P3_詳細	T-D06	AC-06	正常	Must	当日適用＝即時反映	EMP-002＝単位給与額280,000	単位給与額を290,000に変更し、適用日付＝当日で「保存」	「即時反映しました」と表示。一覧が290,000になる	T-D06.png	従業員詳細	保存直後に反映されること			
P3_詳細	T-D07	AC-20	異常	Must	締め済み期間への遡及	2026-05を締め済み（T-S03実施後）	EMP-001に適用日付＝2026-05-10で保存を試行	締め済み期間のため反映されない旨の警告が出る（黙って保存されない）	T-D07.png	従業員詳細	既定は将来適用（警告して将来日へ寄せる）			フロー7。締め済みの数字が動かないこと
P3_詳細	T-D08	AC-30	正常	Should	削除と戻る	同上	「従業員削除」→確認／「一覧へ戻る」	削除は確認モーダルのあと完了表示。戻るは従業員一覧へ	T-D08.png	従業員詳細	確認なしで削除されないこと			
P3_詳細	T-D09	AC-35	正常	Must	詳細の給与実績（月次タブ・概算/実績切替）	data/05を投入済み。EMP-001の詳細を開く	給与実績セクションで月次タブ→給与計算モードを概算→実績に切り替える	概算＝基本列のみ／実績＝総労働時間・みなし差分・所属店舗労働時間・ヘルプ先・ヘルプ時間・ヘルプ人件費・深夜残業時間・深夜残業代が追加表示	T-D09.png	従業員詳細	人件費実績（T-A02/A03）と同じ列・同じ切替になっていること			個人単位でも同じ見え方であることが要件
P3_詳細	T-D10	AC-35	正常	Must	詳細の給与実績（日次タブ）	data/06を投入済み	日次タブへ切り替える	06の日次データが表示される（実働・ヘルプ・深夜残業）	T-D10.png	従業員詳細	月次と日次でデータが入れ替わること			
P3_詳細	T-D11	AC-35	正常	Should	詳細の給与実績（年・月フィルタ）	data/05（2026-05）	月次タブで年フィルタ＝2026／日次タブで月フィルタ＝2026-05	選択した期間のみ表示される	T-D11.png	従業員詳細	タブごとにフィルタの単位が違う（年／月）ことを確認			
P3_詳細	T-D12	AC-36	正常	Should	詳細の給与実績のCSVエクスポート	同上	月次タブ・日次タブそれぞれでCSVエクスポート	表示中の内容がBOM付きCSVで出力される（Excelで文字化けなし）	T-D12.png	従業員詳細	タブごとに出力内容が変わること			
P4_履歴	T-H01	AC-07	正常	Must	履歴が追記され、過去行が変わらない	data/04を投入済み。変更前の履歴をCSV出力しておく	EMP-001の設定を1回変更して保存	履歴が1行増える。既存行の値はすべて変更前と同一	T-H01.png	従業員設定履歴	変更前後のCSVを突合し、既存行の差分が0であること			原則①の担保。AC-03に連鎖する
P4_履歴	T-H02	AC-09	正常	Must	適用日付と編集日時の分離	T-D04の予約を作成済み	従業員設定履歴で該当行を確認	変更反映日時＝予約日、編集日時＝操作日。2つが異なる値になる	T-H02.png	従業員設定履歴	同じ値になっていないこと			data/04のEMP-001（反映2026-08-01／編集2026-06-25）が見本
P4_履歴	T-H03	AC-08	正常	Must	変更ソースの記録	手動編集・予約・KOT取込・ジョブカン取込の4経路を実施済み	変更ソースでフィルタして4種を確認	手動編集／更新予約／CSVインポート(King of Time)／CSVインポート(ジョブカン) の4種が記録・絞り込みできる	T-H03.png	従業員設定履歴	4種すべてが出ること			data/04に4種を含む
P4_履歴	T-H04	AC-08	正常	Should	期間フィルタ	data/04（編集日時2026-03-20〜2026-06-25）	編集日時の範囲を2026-05-01〜2026-05-31で指定	期間内の行のみ表示される	T-H04.png	従業員設定履歴	境界日（5/1・5/31）が含まれること			境界値の扱いを記録
P4_履歴	T-H05	AC-30	正常	Should	名前から詳細への導線	同上	履歴の名前をクリック	該当従業員の従業員詳細へ遷移	T-H05.png	従業員設定履歴	横断→個人に降りられること			
P4_履歴	T-H06	AC-36	正常	Should	設定履歴のCSVエクスポート	data/04を投入済み	フィルタを適用した状態でCSVエクスポート	絞り込み後の行だけが出力される（全件ではない）	T-H06.png	従業員設定履歴	フィルタ結果が出力に反映されること			外部提出・監査対応で使う
P4_履歴	T-H07	AC-30	正常	Could	履歴からインポートへの導線	-	ツールバーの「CSVインポート」を押す	設定インポート画面へ遷移	T-H07.png	従業員設定履歴				
P5_実績	T-A01	AC-30	正常	Must	初期表示	data/05（月次5行）・data/06（日次5行）を投入済み	人件費実績を開く	パンくず「ホーム - 人件費実績」。月別実績／日別実績のタブが表示	T-A01.png	人件費実績	既定が月別実績であること			
P5_実績	T-A02	AC-10	正常	Must	概算モードの列	同上・給与計算モード＝概算	月別実績タブで概算モードを選択	従業員コード/氏名/対象年月/雇用区分/所属店舗/概算給与 の基本列のみ表示	T-A02.png	人件費実績	実績列が非表示であること			
P5_実績	T-A03	AC-10	正常	Must	実績モードの列	同上・給与計算モード＝実績	実績モードに切り替える	総労働時間/みなし労働時間差分/所属店舗労働時間/ヘルプ先店舗/ヘルプ時間/ヘルプ人件費/深夜残業時間/深夜残業代/実績給与 が追加表示	T-A03.png	人件費実績	概算列と実績列が同じ行に横並びになること（差の内訳が読めること）			金額の正しさはC-001〜で別途検証
P5_実績	T-A04	AC-10	正常	Should	月別フィルタ	data/05（2026-05の5行）	年月／店舗／雇用区分／検索を順に適用	各フィルタで行が絞り込まれる	T-A04.png	人件費実績	店舗フィルタが所属店舗基準か稼働店舗基準かを記録			判断5に関わるため所見を必ず残す
P5_実績	T-A05	AC-10	正常	Must	日別タブ	data/06（2026-05-07〜09の5行）	日別実績タブへ切り替え	勤務日/所属店舗/出勤/退勤/休憩/実働時間/うちヘルプ先/ヘルプ時間/深夜残業時間/日次人件費 が全列表示	T-A05.png	人件費実績	日別に概算モードが存在しないこと			概算の日割りは判断1未確定のため出さない仕様
P5_実績	T-A06	AC-31	正常	Could	モード切替の独立性	実績モードにした状態	従業員詳細を開いて戻る	他画面の表示モードが変わらない	T-A06.png	人件費実績／従業員詳細	状態がグローバルに漏れていないこと			次段階
P5_実績	T-A07	AC-36	正常	Must	人件費実績のCSVエクスポート	data/05・data/06を投入済み	月別実績（実績モード）と日別実績でそれぞれCSVエクスポート	表示中の列・行がBOM付きCSVで出力される。概算モードなら基本列のみ、実績モードなら全列	T-A07.png	人件費実績	モード・タブ・フィルタの状態が出力に反映されること			K4（依頼件数0）の直接の手段
P6_締め	T-S01	AC-18	正常	Must	締めボタンの表示条件	data/05を投入済み・2026-05は未締め	月別実績タブと日別実績タブを順に開く	月別実績タブにのみ「締め」ボタンが表示。日別タブには表示されない	T-S01.png	人件費実績	日別タブに出ていないこと			締めの単位が月であることの明示
P6_締め	T-S02	AC-19	正常	Must	締めの確認モーダル	同上	年月＝2026-05を選び「締め」を押す	「締めます。締め後はデータの編集ができなくなります。」の確認が出る	T-S02.png	人件費実績	確認なしで実行されないこと			
P6_締め	T-S03	AC-16	正常	Must	締めの実行	同上	確認モーダルで実行	締めが完了し、ボタンが「締め解除」に変わる	T-S03.png	人件費実績	ボタン表記の切替			C-008以降の前提となる操作
P6_締め	T-S04	AC-16	異常	Must	締め後の編集不可	2026-05を締め済み	2026-05の実績を編集しようとする／勤怠を再取込する	編集できない（または反映されない）	T-S04.png	人件費実績	金額の不変はC-008・C-010で数値検証			
P6_締め	T-S05	AC-19 AC-17	正常	Must	締め解除	2026-05を締め済み	「締め解除」を押す	「締めを解除します。解除後はデータの編集が可能になります。」の確認→実行で編集可に戻る	T-S05.png	人件費実績	解除の記録（実行者・日時）が残るかを所見に記録			記録がない場合は要件として起票
P6_締め	T-S06	AC-32	異常	Could	締め前の事前バリデーション	単位給与額が未設定の従業員を1名作成	2026-05の締めを実行	設定が欠落した従業員がいる旨の警告が出る	T-S06.png	人件費実績	「従業員設定確定」廃止の代替が機能するか			次段階。未実装なら所見として記録
P7_取込	T-I01	AC-30	正常	Must	初期表示	-	設定インポートを開く	パンくず「ホーム - 設定インポート」。データ種類・D&Dエリア・テンプレートDLが表示	T-I01.png	設定インポート	CSVテンプレートDLが右上にあること			
P7_取込	T-I02	AC-21	正常	Must	CSVテンプレートのDL	-	「従業員設定CSVテンプレート」「給与設定CSVテンプレート」を順にDLしExcelで開く	従業員設定＝従業員コード/氏名/雇用区分/所属店舗/ヘルプ先店舗/適用日付。給与設定＝従業員コード/給与単位/単位給与額/交通費単位/単位交通費/ヘルプ先交通費/所定労働時間/みなし残業時間/適用日付。文字化けなし	T-I02.png	設定インポート	列が登録フォームの項目と一致すること			BOM付きCSV
P7_取込	T-I03	AC-21	正常	Must	King of Time形式の取込	data/07（EMP-001・EMP-005・EMP-013の3行）	データ種類＝King of Time を選び07をD&D→登録	3行すべて取り込まれる。EMP-001=340,000、EMP-005=360,000に更新。EMP-013は新規追加	T-I03.png	設定インポート	既存2件は更新・新規1件は追加という挙動になること			更新か重複追加かを必ず確認
P7_取込	T-I04	AC-22	正常	Must	ジョブカン形式（表記ゆれ）の取込	data/08（スタッフコード/スタッフ名/雇用形態 等のヘッダー）	データ種類＝ジョブカン を選び08をD&D→登録	3行すべて取り込まれる（EMP-003=1,250、EMP-010=1,300、EMP-014は新規）	T-I04.png	設定インポート	ヘッダー表記ゆれが吸収されること			R5の検証
P7_取込	T-I05	AC-23	異常	Must	従業員コード欠落	data/09の1行目（コード空欄）	09をD&D→登録	当該行がエラーとして検出され、登録されない	T-I05.png	設定インポート	行単位エラーか全体拒否かを記録			どちらでも可。挙動を仕様として確定する
P7_取込	T-I06	AC-23	異常	Must	給与額の負値	data/09の2行目（単位給与額 -50,000）	同上	当該行がエラーとして検出され、EMP-001の給与額が負値にならない	T-I06.png	設定インポート	既存データが破壊されないこと			
P7_取込	T-I07	AC-23	異常	Must	存在しない店舗コード	data/09の3行目（所属店舗 S99）	同上	当該行がエラーとして検出される	T-I07.png	設定インポート	未登録店舗が自動作成されないこと			
P7_取込	T-I08	AC-23	異常	Must	型不正・未定義区分	data/09の4行目（単位給与額 abc／雇用区分 契約社員）	同上	当該行がエラーとして検出される（数値でない値・未定義の雇用区分）	T-I08.png	設定インポート	2種類のエラーが両方検出されること			雇用区分は正社員/パート/アルバイトの3種のみ
P7_取込	T-I09	AC-24	正常	Should	列マッピングテンプレートの作成	-	列マッピングテンプレート管理→「テンプレート登録」→CSV列名とラクミー列名を対応づけて保存	テンプレートが一覧に追加され、マッピング数が表示される	T-I09.png	列マッピングテンプレート	CSだけで完結できること（開発不要）			K4・R5の前提
P7_取込	T-I10	AC-24	正常	Should	テンプレートの再利用	T-I09で作成済み	設定インポートでテンプレートを選択	取込列設定が自動で埋まる（手入力ゼロ）	T-I10.png	設定インポート	選ぶだけで取込列設定が反映されること			
P7_取込	T-I11	AC-37	境界	Must	CSV位置合わせ設定	先頭に説明行が2行入ったCSV（data/07を加工）	CSV位置合わせ設定を開き、ヘッダー行＝3／データ開始行＝4／開始列＝1を指定	余計な行が無視され、3行が正しく取り込まれる	T-I11.png	設定インポート	勤怠システムの出力にありがちな先頭行ズレを吸収できること			これが無いと現場のCSVがそのまま使えない
P7_取込	T-I12	AC-30	正常	Should	設定インポートのキャンセル	CSVをD&Dした状態	「キャンセル」を押す	従業員一覧へ戻り、何も取り込まれていない	T-I12.png	設定インポート	中断しても既存データが変わらないこと			
P7_取込	T-I13	AC-38	正常	Should	テンプレートの編集・削除	T-I09で作成済みのテンプレート	編集アイコンでマッピングを1行変更して保存／削除アイコンで削除	編集＝マッピング数が変わる。削除＝確認のうえ一覧から消える	T-I13.png	列マッピングテンプレート	削除が確認なしで実行されないこと			
P7_取込	T-I14	AC-38	正常	Could	テンプレートのデータ種類フィルタ	KOT用・ジョブカン用のテンプレートを各1件作成	データ種類でフィルタする	該当する種類のテンプレートのみ表示される	T-I14.png	列マッピングテンプレート				
P7_取込	T-I15	AC-38	境界	Should	列マッピング表のインポート	-	テンプレートDL → 内容を編集 → アップロード（D&D）→ インポート	マッピング設定が一括で反映される。10MB超のファイルは拒否される	T-I15.png	列マッピングテンプレート	CSV最大10MBの上限が効くこと			マッピング数が多い顧客向け
P8_出力	T-E01	AC-30	正常	Must	初期表示	data/02を投入済み	従業員一覧→「設定・実績エクスポート」	専用画面（モーダルではない）が開き、①エクスポート種別・②エクスポートデータ詳細選択の2段構成	T-E01.png	設定・実績エクスポート	連番が①②の2段であること			
P8_出力	T-E02	AC-25	正常	Must	種別の複数選択	-	①で「設定」と「実績」の両方を押す	両方が選択状態（塗りつぶし＋✓）になる	T-E02.png	設定・実績エクスポート	トグルが押下状態として明示されること			
P8_出力	T-E03	AC-25	正常	Should	種別に応じた②の切替	-	①で「設定」のみ→次に「実績」のみを選択	設定＝対象（従業員設定/給与設定）＋データ項目。実績＝月のプルダウン＋データ項目 に切り替わる	T-E03.png	設定・実績エクスポート	①の選択に②が追従すること			
P8_出力	T-E04	AC-25	正常	Must	項目選択どおりの出力	data/02の12名	①設定→②従業員設定→データ項目で「従業員コード・氏名・所属店舗」の3項目だけを選択→エクスポート	出力CSVの列が3列のみ（過不足なし）、行数=12	T-E04.png	設定・実績エクスポート	チェックしていない列が混入しないこと			情報の出し過ぎ防止
P8_出力	T-E05	AC-26	境界	Should	両対象で2ファイル	同上	①設定→②で従業員設定・給与設定の両方を選択→エクスポート	ファイルが2つ出力される	T-E05.png	設定・実績エクスポート	1ファイルに結合されていないこと			
P8_出力	T-E06	AC-25	正常	Should	全選択／解除	-	データ項目カードの「全選択」「解除」を押す	そのカテゴリ内のみ全選択／全解除される（他カテゴリは変わらない）	T-E06.png	設定・実績エクスポート	カテゴリ（従業員設定=青/給与設定=緑/実績=黄）の独立性			
P8_出力	T-E07	AC-27	異常	Should	未選択でのエクスポート	-	種別・対象・項目のいずれかを未選択のまま「エクスポート」	警告が出て出力されない	T-E07.png	設定・実績エクスポート	空ファイルが落ちてこないこと			
P8_出力	T-E08	AC-28	正常	Must	Excelでの文字化け	T-E04で出力したファイル	出力CSVをExcelで開く	日本語（氏名・店舗名・列名）が文字化けしない	T-E08.png	-	BOM付きUTF-8であること			そのまま外部提出できるかの判断
P8_出力	T-E09	AC-25	正常	Must	実績種別のエクスポート	data/05（2026-05）を投入済み	①実績 → ②月＝2026-05 → データ項目（実績カテゴリ）を選択 →「エクスポート」	選択した実績項目のみのCSVが1ファイル出力される（対象月の行のみ）	T-E09.png	設定・実績エクスポート	設定側（T-E04）と実績側で出力の作られ方が揃っていること			給与計算ソフトへ渡す主用途
P9_横断	T-Z01	AC-01	正常	Must	移行前後の従業員データ突合	移行前の従業員一覧をCSV出力済み	移行を実施し、移行後の一覧をCSV出力して突合	件数の増減=0、全項目の差分=0	T-Z01.png	従業員一覧	1件でも差分があればリリース中止			★No-Go判定に直結
P9_横断	T-Z02	AC-02	正常	Must	適用日付の付与	移行実施済み	設定履歴を全件CSV出力	適用日付が空欄の行=0件	T-Z02.png	従業員設定履歴	既存データに初回レコードが過去日で付与されていること			
P9_横断	T-Z03	AC-03	正常	Must	移行前後の過去月人件費	移行前に直近3か月の人件費実績をCSV出力済み	移行後に同じ3か月を出力して突合	3か月すべてで差分=0円	T-Z03.png	人件費実績	★No-Go条件。1円でも動けばリリース中止			課題P1そのもの
P9_横断	T-Z04	AC-29	正常	Should	サイドバー構成	-	PC（ホバー展開）とモバイル（アコーディオン）で従業員管理を開く	閲覧・管理＝従業員一覧/人件費実績/従業員設定履歴、データ連携＝設定インポート/設定・実績エクスポート/設定取込データ/実績取込データ	T-Z04.png	サイドバー	2グループ・計7項目が両端末で表示されること			
P9_横断	T-Z05	AC-30	正常	Must	遷移の網羅	-	仕様書の全遷移（22経路）を順に押下	すべて到達可能（不通=0）	T-Z05.png	全画面	キャンセル・戻るを含む			
P9_横断	T-Z06	AC-01	正常	Could	表示規則の一貫性	data/02を投入済み	一覧・詳細・履歴・実績の各画面を確認	通貨は千区切り＋¥、バッジ規則が全画面で同一、空データは「データはありません。」	T-Z06.png	全画面	画面ごとに表記が揺れていないこと			
P10_取込データ	T-N01	AC-39	正常	Must	設定取込データの確認	T-I03（KOT取込）を実施済み	サイドバー「設定取込データ」を開き、取り込んだファイル・行を確認	取り込んだ設定の元データ（ファイル名・取込日時・行の内容）が確認できる	T-N01.png	設定取込データ	履歴の「変更ソース＝CSVインポート」から辿れること（フロー9）			数字がおかしいときの調査導線
P10_取込データ	T-N02	AC-39	正常	Must	実績取込データの確認	勤怠データを取込済み	サイドバー「実績取込データ」を開き、取り込んだ勤怠実績を確認	取り込んだ勤怠実績の元データが確認できる	T-N02.png	実績取込データ	設定側と実績側が別画面で分かれていること			人件費が合わないときに勤怠側を疑う導線
