条件ID	判定レベル	実装マイルストーン	確認する画面	操作（何をすると起きるか）	合格基準（定量）	検証ID	確認方法	リリース影響	判定（合格/不合格/未実装）	実測値・所見	確認日	確認者
AC-12	L1 MVP必須	実装M2 計算エンジン	人件費実績（月別・概算）	EMP-001を2026-06-11から340,000へ改定する	332,727円（320,000×8/22＋340,000×14/22）	S-02 C-006	操作で確認	不可				
AC-13	L1 MVP必須	実装M2 計算エンジン	人件費実績（月別・概算）	EMP-003（時給1,200・所定120h）を確認する	144,000円（差分0）	C-011	操作で確認	不可				
AC-14	L1 MVP必須	実装M2 計算エンジン	人件費実績（日別）／月別	EMP-001の5/8（S02・11h）を確認する	按分額が （概算給与＋深夜残業代＋みなし超過残業代）×ヘルプ時間÷総労働時間 と一致し、そこにヘルプ先の交通費を加えた額がヘルプ人件費になる（差分0円）	C-003 C-013	操作で確認	不可				
AC-15	L1 MVP必須	実装M2 計算エンジン	人件費実績（月別・日別）／給与実績一覧	EMP-001（通勤18,000／S02=700・S03=900）を確認する	実績給与＝概算給与＋深夜残業代＋みなし超過残業代＋所属店舗の交通費＋ヘルプ先の交通費（差分0円）。ヘルプ先の交通費は応援先に計上され、店舗別合計＝全社（差0円）	S-02 T-R04 C-017	操作で確認	不可				
AC-16	L0 リリース不可	実装M3 締め	人件費実績（月別）	2026-05を締めた後、過去日の給与改定を保存し、勤怠も再取込する	当月の実績給与・総労働時間の差分=0円	T-S03 T-S04 C-008 R-02	操作＋実装レビュー	★中止				
AC-17	L1 MVP必須	実装M3 締め	人件費実績（月別）	締めを解除する	解除後の実績給与＝改定を反映した計算値（差分0円）	C-008	操作で確認	不可				
AC-18	L1 MVP必須	実装M3 締め	人件費実績	月別実績タブと日別実績タブを開く	日別タブでの表示=0	T-S01	操作で確認	条件付きGo可				
AC-19	L1 MVP必須	実装M3 締め	人件費実績（月別）	締め・締め解除をそれぞれ実行する	確認モーダル=各1回	T-S03 T-S05	操作で確認	条件付きGo可				
AC-20	L1 MVP必須	実装M3 締め	従業員詳細	締め済み期間内の適用日付で保存を試みる	警告なしの保存=0件	T-D07	操作で確認	不可				
AC-41	L1 MVP必須	実装M3 締め	人件費実績（月別）	店長スコープのアカウントで締めを試みる	店長での締め実行=0件（ボタン非表示または拒否）	T-S07 R-02	操作＋実装レビュー	不可				
AC-21	L1 MVP必須	実装M4 画面・入出力	設定インポート	data/07（KOT・3行）を取り込む	取込成功=3行	T-I02 T-I03	操作で確認	不可				
AC-22	L1 MVP必須	実装M4 画面・入出力	設定インポート	data/08（ジョブカン・3行）を取り込む	取込成功=3行	T-I04 R-05	操作＋実装レビュー	不可				
AC-23	L1 MVP必須	実装M4 画面・入出力	設定インポート	data/09（異常4行）を取り込む	4行すべて検出（見逃し=0）	T-I05 R-03	操作＋実装レビュー	不可				
AC-24	L1 MVP必須	実装M4 画面・入出力	列マッピングテンプレート	テンプレートを保存し、インポートで選択する	保存済みテンプレート選択時の手入力=0項目。「全解除」で取込チェックが一括で外れる	T-I09 R-05	操作＋実装レビュー	条件付きGo可				
AC-25	L1 MVP必須	実装M4 画面・入出力	設定・実績エクスポート	項目を3つだけ選んで出力する	出力の列＝チェックした項目（過不足=0列）	T-E04 T-E09	操作で確認	不可				
AC-26	L1 MVP必須	実装M4 画面・入出力	設定・実績エクスポート	従業員設定＋給与設定を両方選んで出力する	ファイル数=2	T-E04	操作で確認	条件付きGo可				
AC-27	L1 MVP必須	実装M4 画面・入出力	設定・実績エクスポート	種別・対象・項目を未選択のまま出力する	未選択での出力=0件	T-E07	操作で確認	条件付きGo可				
AC-28	L1 MVP必須	実装M4 画面・入出力	設定・実績エクスポート	出力したCSVをExcelで開く	文字化け=0箇所	T-E08	操作で確認	不可				
AC-29	L1 MVP必須	実装M4 画面・入出力	サイドバー	PC（ホバー）とモバイル（アコーディオン）で開く	欠落=0	T-Z04	操作で確認	不可				
AC-30	L1 MVP必須	実装M4 画面・入出力	全画面	仕様書 第2部の遷移75本を順に押す	不通=0	T-L06 T-R07 T-D08 T-H04 T-I02 T-I09 T-E04 T-N03 T-Z05	操作で確認	不可				
AC-33	L1 MVP必須	実装M4 画面・入出力	従業員一覧／設定履歴	店舗・雇用区分・名前・月・取込データで絞り込む	各条件で絞り込みが効く（無反応=0）	T-L08 T-H04	操作で確認	条件付きGo可				
AC-34	L1 MVP必須	実装M4 画面・入出力	従業員一覧／従業員詳細	削除アイコン・従業員削除で、キャンセルと実行の両方を試す	確認なしの削除=0件、キャンセル時の削除=0件	T-L10 T-D08	操作で確認	不可				
AC-35	L1 MVP必須	実装M4 画面・入出力	従業員詳細（給与実績）	詳細の月次・日次と人件費実績を並べて突合する	同一従業員・同一月で差分=0円	R-04	操作＋実装レビュー	条件付きGo可				
AC-36	L1 MVP必須	実装M4 画面・入出力	人件費実績／設定履歴／給与実績一覧	フィルタを適用した状態でCSV出力する	出力の行・列＝画面の表示（差分0）	T-P01 T-H04 T-A07	操作で確認	条件付きGo可				
AC-37	L1 MVP必須	実装M4 画面・入出力	設定インポート	先頭に説明行が2行あるCSVを取り込む	取込成功=全行	T-I11	操作で確認	条件付きGo可				
AC-39	L1 MVP必須	実装M4 画面・入出力	設定取込データ／実績取込データ	取込後に画面を開く	設定・実績とも参照可能	T-N01	操作で確認	条件付きGo可				
AC-42	L1 MVP必須	実装M4 画面・入出力	設定インポート	異常行を含むCSVを取り込み、取込後の一覧と履歴を確認する	部分登録の残存=0件	T-I18 R-03	操作＋実装レビュー	不可				
AC-43	L1 MVP必須	実装M4 画面・入出力	従業員登録	必須項目を個別に空にして登録する	未入力での登録成功=0件、遷移=0件	T-R10 R-03	操作＋実装レビュー	不可				
AC-01	L0 リリース不可	実装M5 移行	従業員一覧	移行を実施し、移行前後の一覧をCSVで突合する	件数の増減=0／12項目の差分=0	T-L01 T-Z01 T-Z05	操作で確認	★中止				
AC-03	L0 リリース不可	実装M5 移行	人件費実績（月別）	移行前後に直近3か月の人件費をCSV出力して突合する	3か月とも差分=0円	T-Z03	操作で確認	★中止				
AC-31	L2 次段階	（次リリース）	人件費実績／従業員詳細	実績モードにして他画面を開く	他画面の表示モードが変わらない	T-A02	操作で確認	影響なし				
AC-32	L2 次段階	（次リリース）	人件費実績（月別）	設定が欠けた従業員がいる状態で締める	警告表示=1回	T-S03	操作で確認	影響なし				
AC-38	L2 次段階	（次リリース）	列マッピングテンプレート	テンプレートを編集・削除し、マッピング表を一括登録する	いずれも成功（失敗=0）	T-I09	操作で確認	影響なし				
AC-44	L2 次段階	（次リリース）	人件費実績（月別）	2セッションから同時に締める	不整合=0件	-	操作で確認	影響なし				
AC-45	L2 次段階	（次リリース）	人件費実績（月別）	締め解除を実行する	解除の記録=1件/回	-	操作で確認	影響なし				
AC-46	L2 次段階	（次リリース）	従業員一覧／設定インポート	50名規模のデータで表示・取込を行う	実務上支障のない時間	-	操作で確認	影響なし				
AC-48	L1 MVP必須	実装M2 計算エンジン	人件費実績	人件費実績の右上「実績データ取込」を押し、取込中モーダルが閉じたあと実績モードの列を見る	取込後に実績モードの金額が表示される（未反映=0件）。取込中は画面を操作できない	T-A08	操作で確認	不可				
AC-49	L1 MVP必須	実装M4 画面・入出力	人件費実績（設定編集モーダル）／従業員詳細	どの入口から設定を編集しても、適用日付と設定変更履歴が同じように記録されること	モーダル経由・詳細経由のどちらでも履歴が1行増える（記録されない編集=0件）。変更ソースも記録される	T-A09 R-06	操作＋実装レビュー	不可				
AC-50	L1 MVP必須	実装M4 画面・入出力	設定取込データ／実績取込データ	設定取込データ／実績取込データで、対象行の「プレビュー」→「前回差分表示」→「読み込み」を順に押す	プレビューで取込内容が表示される。前回差分で「前回◯◯→新規◯◯」の形式で差が表示される（差分が出ない=0件）	T-N02	操作で確認	条件付きGo可				
AC-51	L2 次段階	（次リリース）	列マッピングテンプレート	マッピング表をテンプレートでダウンロードし、行を追加・更新できること	テンプレートDL・アップロード（CSV最大10MB）・行を追加・更新する がいずれも動作（失敗=0）。10MB超は拒否	T-I19	操作で確認	影響なし				
AC-52	L1 MVP必須	実装M4 画面・入出力	従業員詳細（設定変更履歴）	従業員詳細で設定を変更して保存し、設定変更履歴の並び・列・強調・「すべての履歴」を確認する	保存直後に最上部へ表示される＝100%（並びは変更反映日時の降順）。ステータスは2列目に表示され、横スクロールなしで見える。表示は直近3件（予約中があれば必ず含む）	T-D11	操作で確認	条件付きGo可				
AC-53	L2 次段階	実装M4 画面・入出力	従業員詳細（設定変更履歴）	従業員詳細で設定を変更して保存し、設定変更履歴の並び・列・強調・「すべての履歴」を確認する	変わった項目の強調＝変更箇所と一致（過不足0件）。「すべての履歴」から従業員設定履歴へ遷移し、その従業員で絞り込まれた状態で開く（絞り込みなしでの遷移=0件）	T-D11	操作で確認	影響なし				
AC-54	L1 MVP必須	実装M4 画面・入出力	給与実績一覧	従業員詳細の「すべての実績」から給与実績一覧を開き、年月範囲と給与計算モードで絞ってCSV出力する	年月の範囲指定で年をまたいで表示できる（またげない=0件）。月次・日次の両タブで表示中の内容がそのままCSVに出る（画面の行数との差=0件）。給与計算モードの切替が月次で効く	T-D09 T-P01	操作で確認	不可				
AC-55	L0 リリース不可	実装M1 データ基盤	従業員一覧／従業員詳細	外部ID体系の異なるCSVを取り込み、従業員IDへの紐づけと履歴・実績の継続を確認する	従業員IDが無い従業員=0件。外部IDを変更しても、その従業員の設定変更履歴と過去月の実績が変わらない（差分0円・0件）	T-I20 T-Z02 R-01	操作＋実装レビュー	★中止				
AC-56	L1 MVP必須	実装M4 画面・入出力	列マッピングテンプレート／設定インポート	外部ID体系の異なるCSVを取り込み、従業員IDへの紐づけと履歴・実績の継続を確認する	1名が複数の勤怠システムの外部IDを持てる（E0001＝King of Time 1001／ジョブカン JB-001）。対応表に無い外部IDは取り込まれず、件数と理由が表示される（黙って登録=0件）	T-I17 T-I20	操作で確認	不可				
AC-57	L1 MVP必須	実装M4 画面・入出力	人件費実績（月別）／給与実績一覧／従業員詳細（給与実績）	3画面で概算⇄実績を切り替え、想定給与・給与実績差分の表示と、取込前の概算表示を確認する	3画面すべてで概算⇄実績を切り替えられる。実績モードで 想定給与・給与・給与実績差分 が表示される（差分＝給与−想定給与、計算違い0件）。実績データ取込の前でも概算モードで金額が表示される（空欄=0件）	T-D09 T-P02 T-A02	操作で確認	不可				
