判定レベル	実装マイルストーン	価値MVP	解く課題	条件ID	守る設計	対象画面	確認方法	満たすべき状態	合格基準（定量）	実装の目安（どこまでできていれば合格か）	不合格のときリリースは
L1 MVP必須	実装M3 締め	V1 数字が動かない	P4 確定できない	AC-18	原則②：締めの単位は月	人件費実績	操作で確認	締めは月別タブにのみ表示される	日別タブでの表示=0	日別タブに締めUIを置かない	条件付きGo可（誤解を招くが実害は小さい）
L1 MVP必須	実装M3 締め	V1 数字が動かない	P4 確定できない	AC-19	原則②：確定操作は確認を経る	人件費実績（月別）	操作で確認	実行前に確認が入る	確認モーダル=各1回	締め・解除ともに確認を挟む	条件付きGo可（誤操作リスクは残る）
L1 MVP必須	実装M3 締め	V1 数字が動かない	P4 確定できない	AC-20	原則②：遡及は黙って捨てない	従業員詳細	操作で確認	警告が出て、黙って無視されない	警告なしの保存=0件	締め済み期間への適用を検出して警告。既定は将来適用へ寄せる	不可（支払額と乖離する）
L1 MVP必須	実装M3 締め	V3 自分で運用できる	P4 確定できない	AC-41	原則②：締めは会社スコープのみ	人件費実績（月別）	操作＋実装レビュー	店長は締めを実行できない	店長での締め実行=0件（ボタン非表示または拒否）	締めAPIを会社スコープ権限で制限。画面側だけで隠さない	不可（月次が店舗ごとに分断される）
L1 MVP必須	実装M4 画面・入出力	V3 自分で運用できる	K3 導入が止まる	AC-21	入出力：導入を止めない	設定インポート	操作で確認	KOT形式のCSVが全行取り込める	取込成功=3行	ヘッダー名で列を解決。テンプレートDLの列と一致させる	不可（導入時に手入力になる）
L1 MVP必須	実装M4 画面・入出力	V3 自分で運用できる	K3 導入が止まる	AC-22	入出力：表記ゆれを吸収	設定インポート	操作＋実装レビュー	表記ゆれのヘッダーでも取り込める	取込成功=3行	列マッピングで吸収する（コードに列名を埋め込まない）	不可（ジョブカン顧客の導入が止まる）
L1 MVP必須	実装M4 画面・入出力	V3 自分で運用できる	データが壊れる	AC-23	データ保全：不正値を入れない	設定インポート	操作＋実装レビュー	異常が検出され、不正な値が登録されない	4行すべて検出（見逃し=0）	コード欠落／負値／未登録店舗／型不正／未定義の雇用区分をサーバ側で検証	不可（マスタが壊れ人件費が狂う）
L1 MVP必須	実装M4 画面・入出力	V3 自分で運用できる	K3/K4 開発待ちになる	AC-24	入出力：CSが自走できる	列マッピングテンプレート	操作＋実装レビュー	保存して再利用できる	保存済みテンプレート選択時の手入力=0項目。「全解除」で取込チェックが一括で外れる	マッピングを保存・適用できる。開発なしで新形式に対応できる	条件付きGo可（都度マッピングで代替）
L1 MVP必須	実装M4 画面・入出力	V3 自分で運用できる	K4 開発待ちになる	AC-25	入出力：渡し先に合わせて出せる	設定・実績エクスポート	操作で確認	選んだ項目だけが出力される	出力の列＝チェックした項目（過不足=0列）	選択した列のみを生成する（固定フォーマットにしない）	不可（不要な給与情報が渡し先に漏れる）
L1 MVP必須	実装M4 画面・入出力	V3 自分で運用できる	K4 開発待ちになる	AC-26	入出力：対象ごとに分ける	設定・実績エクスポート	操作で確認	対象ごとにファイルが分かれる	ファイル数=2	対象ごとにファイルを生成する	条件付きGo可（手作業で分割）
L1 MVP必須	実装M4 画面・入出力	V3 自分で運用できる	K4 開発待ちになる	AC-27	入出力：空振りを防ぐ	設定・実績エクスポート	操作で確認	出力されず警告が出る	未選択での出力=0件	出力前に選択状態を検証する	条件付きGo可
L1 MVP必須	実装M4 画面・入出力	V3 自分で運用できる	K4 開発待ちになる	AC-28	入出力：そのまま提出できる	設定・実績エクスポート	操作で確認	文字化けしない	文字化け=0箇所	BOM付きUTF-8で出力する	不可（外部提出に使えない）
L1 MVP必須	実装M4 画面・入出力	V3 自分で運用できる	操作に到達できない	AC-29	画面：たどり着ける	サイドバー	操作で確認	2グループ7項目が表示される	欠落=0	閲覧・管理3／データ連携4でグループ化	不可（画面に到達できない）
L1 MVP必須	実装M4 画面・入出力	V3 自分で運用できる	操作が完了しない	AC-30	画面：操作が最後まで通る	全画面	操作で確認	仕様書 第2部の遷移どおりに画面が繋がる（取込データ⇄人件費実績の相互導線を含む）	不通=0	キャンセル・戻る・エラー時の遷移を含めて実装する	不可（フローが途中で切れる）
L1 MVP必須	実装M4 画面・入出力	V3 自分で運用できる	対象を探せない	AC-33	画面：対象を探せる	従業員一覧／設定履歴	操作で確認	フィルタで対象を絞り込める	各条件で絞り込みが効く（無反応=0）	1段目=絞り込み、2段目=対象データとして独立に効かせる	条件付きGo可（件数が少ないうちは実害小）
L1 MVP必須	実装M4 画面・入出力	V3 自分で運用できる	データが壊れる	AC-34	データ保全：消える操作は確認を経る	従業員一覧／従業員詳細	操作で確認	確認を経てのみ削除される	確認なしの削除=0件、キャンセル時の削除=0件	削除前に確認ダイアログ。キャンセルでリクエストを送らない	不可（誤操作で過去の紐付けが失われる）
L1 MVP必須	実装M4 画面・入出力	V2 数字が実態を表す	数字の見え方が割れる	AC-35	計算：個人単位でも同じ数字	従業員詳細（給与実績）	操作＋実装レビュー	画面が変わっても同じ数字が出る	同一従業員・同一月で差分=0円	同じ集計ロジックを共有する（画面ごとに別計算をしない）	条件付きGo可（説明コストが増える）
L1 MVP必須	実装M4 画面・入出力	V3 自分で運用できる	K4 開発待ちになる	AC-36	入出力：画面の内容と一致	人件費実績／設定履歴／給与実績一覧	操作で確認	表示中の内容どおりに出力される	出力の行・列＝画面の表示（差分0）	出力は画面の絞り込み条件を引き継ぐ（全件出力にしない）	条件付きGo可
L1 MVP必須	実装M4 画面・入出力	V3 自分で運用できる	K3 導入が止まる	AC-37	入出力：現場のCSVをそのまま使える	設定インポート	操作で確認	開始行を指定すれば取り込める	取込成功=全行	ヘッダー行・データ開始行・開始列を指定できる	条件付きGo可（顧客にCSV加工を依頼する運用で代替）
L1 MVP必須	実装M4 画面・入出力	V3 自分で運用できる	K2 原因が追えない	AC-39	入出力：原因を追える	設定取込データ／実績取込データ	操作で確認	取り込んだ元データを確認できる	設定・実績とも参照可能	取込ファイルと取込結果を保存し、画面から参照できる	条件付きGo可（DBを直接見る運用で代替）
L1 MVP必須	実装M4 画面・入出力	V2 数字が実態を表す	データが壊れる	AC-42	データ保全：中途半端に残さない	設定インポート	操作＋実装レビュー	途中で失敗しても中途半端な状態が残らない	部分登録の残存=0件	全体をトランザクションで囲む（全体拒否）か、行単位で結果を明示する。どちらでも可だが挙動を固定する	不可（どこまで入ったか分からず復旧できない）
L1 MVP必須	実装M4 画面・入出力	V3 自分で運用できる	データが壊れる	AC-43	データ保全：不完全な登録を作らない	従業員登録	操作＋実装レビュー	必須が欠けたまま保存も遷移もしない	未入力での登録成功=0件、遷移=0件	サーバ側でも必須チェック（画面側だけにしない）。エラー時は同一画面に留まる	不可（締め時に止まる従業員が生まれる）
L0 リリース不可	実装M5 移行	V1 数字が動かない	既存顧客への影響	AC-01	移行：既存顧客が壊れない	従業員一覧	操作で確認	移行後も既存の従業員が同じ内容で見える	件数の増減=0／12項目の差分=0	移行スクリプトが既存レコードを1対1で新モデルへ写像する。項目の欠落・型変換の失敗が0件	★中止（既存顧客のマスタが壊れる）
L0 リリース不可	実装M5 移行	V1 数字が動かない	P1 過去が動く	AC-03	移行：過去が動かない	人件費実績（月別）	操作で確認	移行しても過去月の人件費が1円も変わらない	3か月とも差分=0円	移行時に各従業員へ「過去日の初回適用レコード」を必ず付与し、過去月の再計算を走らせない	★中止（この機能の存在意義が消える）
L2 次段階	（次リリース）	V2 数字が実態を表す	数字の見え方が割れる	AC-31	画面：状態が漏れない	人件費実績／従業員詳細	操作で確認	切替が他画面に影響しない	他画面の表示モードが変わらない	表示モードを画面ローカルに持つ	影響なし
L2 次段階	（次リリース）	V1 数字が動かない	P4 確定できない	AC-32	原則②：締め前の事前チェック	人件費実績（月別）	操作で確認	事前に警告が出る	警告表示=1回	締め実行時に設定の欠落を検出して警告（「従業員設定確定」廃止の代替）	影響なし（次リリースで対応）
L2 次段階	（次リリース）	V3 自分で運用できる	K4 開発待ちになる	AC-38	入出力：テンプレートの運用	列マッピングテンプレート	操作で確認	編集・削除・一括登録ができる	いずれも成功（失敗=0）	テンプレートのCRUDとCSVでの一括登録	影響なし
L2 次段階	（次リリース）	V3 自分で運用できる	データが壊れる	AC-44	データ保全：同時操作	人件費実績（月別）	操作で確認	競合が制御される	不整合=0件	締めに排他制御を入れる	影響なし（担当は通常1〜2名）
L2 次段階	（次リリース）	V1 数字が動かない	P4 確定できない	AC-45	原則②：確定操作の監査	人件費実績（月別）	操作で確認	実行者と日時が記録される	解除の記録=1件/回	解除ログを保存する	影響なし（現状はT-S05の所見で代替）
L2 次段階	（次リリース）	V3 自分で運用できる	規模に耐えない	AC-46	画面：規模に耐える	従業員一覧／設定インポート	操作で確認	実用的な速度で動く	実務上支障のない時間	ページング・一括取込の最適化	影響なし（リリース後に計測）
L1 MVP必須	実装M2 計算エンジン	V2 数字が実態を表す	実績値の源泉	AC-48	入出力：勤怠実績を取り込める	人件費実績	操作で確認	「実績データ取込」で勤怠実績が取り込まれ、人件費実績に反映されること	取込後に実績モードの金額が表示される（未反映=0件）。取込中は画面を操作できない	取込処理を非同期で実行し、進捗を返す。処理中は締めなど後続の操作を受け付けない	不可（実績の数字が出ず、締めも意味を持たない）
L1 MVP必須	実装M4 画面・入出力	V1 数字が動かない	P1 過去が動く	AC-49	原則①：どの入口から編集しても履歴が残る	人件費実績（設定編集モーダル）／従業員詳細	操作＋実装レビュー	従業員詳細と人件費実績のモーダル、どちらから編集しても適用日付と履歴が同じ形式で残ること	モーダル経由・詳細経由のどちらでも履歴が1行増える（記録されない編集=0件）。変更ソースも記録される	設定更新の処理を1箇所に集約し、両方の画面から同じ処理を呼ぶ。※この集約はM1（データ基盤）の時点で作る。後から画面ごとに分かれた実装を統合するのは困難。判定はモーダルが実装されるM4で行う	不可（片方だけ履歴が残らないと変更を追えない期間ができ、AC-07・AC-03に連鎖）
L1 MVP必須	実装M4 画面・入出力	V3 自分で運用できる	取込事故を防ぐ	AC-50	データ保全：取り込む前に気づける	設定取込データ／実績取込データ	操作で確認	取り込む前に、内容のプレビューと前回との差分を確認できること	プレビューで取込内容が表示される。前回差分で「前回◯◯→新規◯◯」の形式で差が表示される（差分が出ない=0件）	前回の取込内容を保持し、項目単位で新旧を比較して差だけを提示する	条件付きGo可（取込後に人件費実績で確認する運用で代替。ただし気づくのが遅れる）
L2 次段階	（次リリース）	V3 自分で運用できる	K4 開発待ちになる	AC-51	入出力：マッピングの一括運用	列マッピングテンプレート	操作で確認	マッピング表をテンプレートでダウンロードし、記入したファイルをアップロードして一括登録できること。行の追加と更新もできること	テンプレートDL・アップロード（CSV最大10MB）・行を追加・更新する がいずれも動作（失敗=0）。10MB超は拒否	マッピング行のCRUDと、テンプレートCSVの入出力（アップロードは上限を設ける）	影響なし（1件ずつ設定する運用で代替）
L1 MVP必須	実装M4 画面・入出力	V3 自分で運用できる	P1 過去が動く（記録したことを確かめられない）	AC-52	画面：保存できたか確かめられる	従業員詳細（設定変更履歴）	操作で確認	保存した設定が記録されたことを、同じ画面ですぐ確かめられる	保存直後に最上部へ表示される＝100%（並びは変更反映日時の降順）。ステータスは2列目に表示され、横スクロールなしで見える。表示は直近3件（予約中があれば必ず含む）	並び順を変更反映日時の降順に固定し、ステータス列を変更反映日時の次に配置する。表示件数は直近3件に絞る。予約中の行は件数に関わらず表示する	条件付きGo可
L2 次段階	実装M4 画面・入出力	V3 自分で運用できる	P1 過去が動く（何を変えたか読み取れない）	AC-53	画面：変更点が読み取れる	従業員詳細（設定変更履歴）	操作で確認	1つ古い行と値が違う項目が強調され、4件目以降へ遷移できる	変わった項目の強調＝変更箇所と一致（過不足0件）。「すべての履歴」から従業員設定履歴へ遷移し、その従業員で絞り込まれた状態で開く（絞り込みなしでの遷移=0件）	直前行との差分を項目単位で判定して強調する。「すべての履歴」は従業員コードを引き継いで従業員設定履歴を開く	影響なし
L1 MVP必須	実装M4 画面・入出力	V3 自分で運用できる	P4 説明できない（1名の推移を通して見られない）	AC-54	画面：通して見る場所がある	給与実績一覧	操作で確認	1名分の実績を期間で通して確認でき、その内容をCSVで出力できる	年月の範囲指定で年をまたいで表示できる（またげない=0件）。月次・日次の両タブで表示中の内容がそのままCSVに出る（画面の行数との差=0件）。給与計算モードの切替が月次で効く	従業員詳細から従業員コードを引き継いで開く。年月は開始・終了の2つで指定する。日次タブでは給与計算モードを出さない（日別に概算は無いため）	不可
